, UID       , Nat       , 2nd Nat   , Name                                  ,           ,           ,           ,
, 2002237106, UKR       ,           , Vladislav Borodin                     , 1         , 9         , 0         ,
, 2002237105, UKR       ,           , Dmitry Khalimbekov                    , 2         , 2         , 0         ,
, 2002237104, UKR       ,           , Denys Kutsev                          , 1         , 16        , 0         ,
, 2002237103, UKR       ,           , Serhiy Yablonskyi                     , 2         , 16        , 0         ,
, 2002237102, UKR       ,           , Ihor Ivanytskyi                       , 1         , 3         , 0         ,
, 2002237101, UKR       ,           , Anton Demchenko                       , 2         , 16        , 9         ,
, 2002237100, GER       , TUR       , Mustafa Yilmaz                        , 1         , 5         , 1         ,
, 2002237099, FIN       , GER       , Antti Laaksonen                       , 2         , 8         , 0         ,
, 2002237098, GER       , BIH       , Elvir Rosić                           , 1         , 2         , 0         ,
, 2002237097, CRO       , GER       , Matija Pintarić                       , 1         , 15        , 0         ,
, 2002237096, GER       , ESP       , Marcos De la Torre                    , 2         , 5         , 1         ,
, 2002237095, GER       ,           , Fabian Endter                         , 1         , 12        , 0         ,
, 2002237094, GER       ,           , Anton Brüntjen                        , 2         , 12        , 0         ,
, 2002237093, GER       , TUR       , Tuncay Kahraman                       , 2         , 5         , 1         ,
, 2002237092, GER       , POR       , Salustiano Cadilha                    , 1         , 16        , 1         ,
, 2002237091, ENG       , GER       , Charlie Roberts                       , 2         , 3         , 0         ,
, 2002237090, GER       , ALB       , Klevis Kadriu                         , 3         , 4         , 0         ,
, 2002237089, DOM       , GER       , Juan Cabrera                          , 1         , 5         , 1         ,
, 2002237088, GER       , GRE       , Apostolos Arabatzis                   , 3         , 5         , 1         ,
, 2002237087, GER       , ITA       , Leonardo Barbarossa                   , 1         , 5         , 1         ,
, 2002237086, GER       , AUT       , Christian Speiser                     , 2         , 3         , 0         ,
, 2002237085, GER       , NGA       , Saheed Udoka                          , 1         , 16        , 3         ,
, 2002237084, GER       ,           , Matthias Forstreuter                  , 3         , 3         , 0         ,
, 2002237083, GER       ,           , Lukas Wolf                            , 1         , 16        , 2         ,
, 2002237082, GER       ,           , Maximilian Althausen                  , 2         , 5         , 0         ,
, 2002237081, GER       ,           , Kai-Norman Winke                      , 2         , 2         , 0         ,
, 2002237080, EGY       , GER       , Mohamed Gamal                         , 1         , 11        , 2         ,
, 2002237079, GER       , GUI       , Mamadou Diallo                        , 3         , 15        , 3         ,
, 2002237078, GER       , TUN       , Walid Abdennebi                       , 1         , 5         , 3         ,
, 2002237077, GER       , GRE       , Dimitris Gabrielides                  , 3         , 15        , 1         ,
, 2002237076, GRE       , GER       , Giorgos Kountouris                    , 1         , 5         , 1         ,
, 2002237075, SEN       ,           , Pape Diallo                           , 1         , 5         , 3         ,
, 2002237074, MAR       , FRA       , Sami Hamdi                            , 1         , 15        , 2         ,
, 2002237073, FRA       , ITA       , Mirco Dal Cin                         , 1         , 5         , 1         ,
, 2002237072, FRA       ,           , David Hugon                           , 2         , 10        , 0         ,
, 2002237071, FRA       , ITA       , Gualtiero Panico                      , 3         , 15        , 1         ,
, 2002237070, FRA       ,           , Sacha Mendes                          , 1         , 3         , 0         ,
, 2002237069, FRA       , SEN       , Mansour Sylla                         , 1         , 16        , 3         ,
, 2002237068, GER       , ENG       , Wesley Nakowitsch                     , 2         , 10        , 0         ,
, 2002237067, ENG       , FRA       , Geoffrey Merle                        , 3         , 15        , 0         ,
, 2002237066, ENG       ,           , Greg Hilson                           , 1         , 3         , 0         ,
, 2002237065, ENG       ,           , Ian Fitzgerald                        , 1         , 3         , 0         ,
, 2002237064, ENG       ,           , Connor Winks                          , 1         , 1         , 0         ,
, 2002237063, ENG       , GHA       , Patrick Danning                       , 1         , 15        , 3         ,
, 2002237062, ENG       , PHI       , Bob Bell                              , 1         , 11        , 0         ,
, 2002236937, GER       , SRB       , Ivica Lučić                           , 2         , 3         , 0         ,
, 2002236936, GER       ,           , Phil Reinhardt                        , 1         , 5         , 0         ,
, 2002236935, GER       ,           , Spyros Karatzas                       , 1         , 11        , 1         ,
, 2002236934, GER       ,           , Stefan Ertelt                         , 1         , 10        , 0         ,
, 2002236933, IRN       , GER       , Sadegh Mehdizadeh                     , 1         , 12        , 2         ,
, 2002236932, GER       , CIV       , Lamine Traoré                         , 1         , 15        , 3         ,
, 2002236931, GER       ,           , Yunus Şen                             , 1         , 15        , 1         ,
, 2002236930, GER       ,           , Mersad Dervisevic                     , 1         , 16        , 0         ,
, 2002236929, GER       ,           , Jan Werner                            , 2         , 12        , 0         ,
, 2002236928, GER       , BIH       , Adnan Hodzic                          , 1         , 1         , 0         ,
, 2002236927, ROU       , GER       , Adrian Grigoraş                       , 1         , 16        , 1         ,
, 2002236926, GER       ,           , Michael Doebel                        , 1         , 12        , 0         ,
, 2002236925, GER       , MAR       , Ayoub Dmii                            , 3         , 15        , 2         ,
, 2002236924, GER       , TUR       , Cengiz Yılmaz                         , 1         , 12        , 0         ,
, 2002236923, GER       , AUT       , Julius Winkler                        , 1         , 3         , 0         ,
, 2002236922, GER       ,           , Ralf Biller                           , 1         , 12        , 0         ,
, 2002236921, CIV       , FRA       , Abou Ouattara                         , 2         , 15        , 3         ,
, 2002236920, FRA       ,           , Pierre-Yves Fonteneau                 , 2         , 10        , 0         ,
, 2002236919, FRA       ,           , Cedric Soulie                         , 1         , 15        , 1         ,
, 2002236918, SEN       , FRA       , Raymond Ba                            , 1         , 16        , 3         ,
, 2002236917, FRA       , GUF       , Marc-Arnaud Privat                    , 1         , 15        , 3         ,
, 2002236916, FRA       ,           , Romain Ibanez                         , 2         , 5         , 0         ,
, 2002236915, MTQ       , FRA       , Mickaël Griffit                       , 1         , 16        , 3         ,
, 2002236914, ENG       , WAL       , Callum Francombe                      , 1         , 3         , 0         ,
, 2002236913, WAL       , ENG       , Jamie Lewis                           , 2         , 3         , 0         ,
, 2002236912, ENG       ,           , Matthew Bevis                         , 1         , 3         , 0         ,
, 2002236911, NIR       , IRL       , Stuart Anderson                       , 1         , 11        , 0         ,
, 2002236910, ENG       ,           , Ben Wagstaff                          , 1         , 1         , 0         ,
, 2002236909, BUL       , LIB       , Ahmad Obeid                           , 2         , 5         , 2         ,
, 2002236908, ENG       ,           , James Wood                            , 1         , 5         , 3         ,
, 2002236907, ENG       , ESP       , Francisco                             , 1         , 5         , 1         ,
, 2002236906, ENG       , IRL       , Shane Brady                           , 1         , 5         , 0         ,
, 2002236705, WAL       , IRL       , Gareth Lawrence                       , 3         , 12        , 0         ,
, 2002236704, WAL       , ENG       , Jumaane Hadland                       , 3         , 11        , 0         ,
, 2002236703, POR       , GNB       , Manuel Baldé                          , 2         , 5         , 3         ,
, 2002236702, WAL       ,           , Ashley Flynn                          , 3         , 10        , 0         ,
, 2002236701, WAL       ,           , Leighton Gwynedd                      , 1         , 10        , 0         ,
, 2002236700, WAL       ,           , Josh Young                            , 3         , 12        , 0         ,
, 2002236699, ENG       ,           , Cenk Bamford                          , 3         , 11        , 0         ,
, 2002236698, WAL       ,           , Luke Davies                           , 1         , 12        , 0         ,
, 2002236697, WAL       ,           , Michael Quick                         , 3         , 7         , 0         ,
, 2002236696, ENG       ,           , Deane Hopley                          , 3         , 15        , 0         ,
, 2002236695, ENG       ,           , David Pope                            , 2         , 7         , 0         ,
, 2002236694, WAL       ,           , David Allen                           , 3         , 12        , 0         ,
, 2002236693, ENG       , IRL       , Rees Pheasey                          , 1         , 5         , 9         ,
, 2002236692, ENG       ,           , Jaimes Gudger                         , 1         , 3         , 0         ,
, 2002236691, ENG       ,           , Haden Simcox                          , 1         , 2         , 0         ,
, 2002236690, WAL       ,           , Eddie Cotterill-Roberts               , 1         , 3         , 0         ,
, 2002236689, SCO       ,           , Stephen Davidson                      , 1         , 3         , 0         ,
, 2002236688, SCO       ,           , Michael Elliot                        , 1         , 16        , 0         ,
